domain,horizon,F1_mean,F1_std,OnsetMAE_mean,OnsetMAE_std
wlel,96,0.840720593939502,0.005588640388474335,0.7469076556602356,0.026516458758842135
wlel,168,0.8304956717769373,0.002576924361309182,0.7235958114540469,0.0047244387483032
wlel,336,0.7943443987857096,0.001488567700115625,0.7793998415613915,0.06362695809163724
ett,96,0.8547580283167768,0.0003233375337143875,0.7035835297661174,0.012745350865704866
ett,168,0.8391734049870087,0.012887232154061337,0.7324394368819908,0.04722713527131404
ett,336,0.7503075238851027,0.00868547888394742,0.7614935794899776,0.04992376462480118
elc,96,0.7943065785990787,0.015644650828814808,1.1162346604351008,0.06351157152253659
elc,168,0.7693750812889362,0.036469742730413694,1.1060929540408801,0.04764451036015139
elc,336,0.7354640694025786,0.036154266378711095,1.1158209003111532,0.07616331803543387
