domain,experiment,variant,seed,F1,ApexMAE,OnsetMAE,DurMAE,IntMAPE
elc,grid_search,w4,456.0,0.8135840788752966,1.1530520646319569,1.1956912028725315,0.5565529622980251,0.12764340881233324
elc,grid_search,w6,123.0,0.7766903914590747,1.058877434135166,1.0916380297823596,0.6199312714776632,0.13186388354274756
elc,grid_search,w6,42.0,0.8061759029500964,1.132922936616507,1.1342909256725946,0.5971272229822161,0.12730930339458466
elc,grid_search,w6,456.0,0.7942940214428493,1.0610844200411804,1.1455044612216885,0.5669183253260124,0.1263777116994063
elc,grid_search,w8,123.0,0.7833647037734157,1.0732265446224256,1.097254004576659,0.6178489702517163,0.1372259548934503
elc,grid_search,w8,42.0,0.8037074424153438,1.1233158255309432,1.1116693308974652,0.6044759077414935,0.12825024634974116
elc,grid_search,w8,456.0,0.7970895861755344,1.0682336832496577,1.1410314924691922,0.5737106344135098,0.12736223293597057
elc,highweight,G0_hw,42.0,0.7900063827847177,1.1668975069252077,1.2082179132040627,0.567174515235457,0.13024237778429512
elc,hw_p1_ablation,G0_full,123.0,0.7703611898016997,1.0618248678464721,1.0852677545391864,0.605148241783498,0.12422539242510108
elc,hw_p1_ablation,G0_full,42.0,0.7900063827847177,1.1668975069252077,1.2082179132040627,0.567174515235457,0.13024237778429512
elc,hw_p1_ablation,G0_full,456.0,0.8135840788752966,1.1530520646319569,1.1956912028725315,0.5565529622980251,0.12764340881233324
elc,hw_p1_ablation,GP1a_wo_has_apex,123.0,0.7909880564603692,1.0299702585220774,1.0796156485929993,0.558453443148021,0.12205869280598498
elc,hw_p1_ablation,GP1a_wo_has_apex,42.0,0.7885703852473983,1.0347302616346377,1.0833526279231303,0.5195647140541793,0.12876288966470406
elc,hw_p1_ablation,GP1a_wo_has_apex,456.0,0.7728892055575347,1.218253053699009,1.2452177921179994,0.5644157640009219,0.12487642125275755
elc,hw_p1_ablation,GP1b_wo_distance,123.0,0.7528028933092223,1.1148210425174154,1.1731924093202017,0.5618544319000721,0.12641842302343598
elc,hw_p1_ablation,GP1b_wo_distance,42.0,0.763110307414105,1.1329383886255924,1.1440758293838862,0.5741706161137441,0.12499263428670927
elc,hw_p1_ablation,GP1b_wo_distance,456.0,0.7532794249775383,1.1638835877862594,1.1822519083969465,0.5732347328244275,0.12802636525138752
elc,hw_p1_ablation,GP1c_wo_phase,123.0,0.7573602232826147,1.1626248216833095,1.154303376129339,0.5675225867807894,0.12517031605084047
elc,hw_p1_ablation,GP1c_wo_phase,42.0,0.7885933644091033,1.1228558182661104,1.142790913305517,0.5331478905887808,0.12701023930680833
elc,hw_p1_ablation,GP1c_wo_phase,456.0,0.7830272775895881,1.2429417122040072,1.1837431693989071,0.5828779599271403,0.12664704353112488
elc,hw_p1_ablation,GP1d_wo_offset,123.0,0.7878572064452952,1.1455367231638418,1.135819209039548,0.5938983050847457,0.12803743581114324
elc,hw_p1_ablation,GP1d_wo_offset,42.0,0.8048758133993218,1.181279890685493,1.2350261899339559,0.5240264176725119,0.11622419982683026
elc,hw_p1_ablation,GP1d_wo_offset,456.0,0.7465381244522349,1.1251467480629256,1.129607889175863,0.5740784221648274,0.11786605488104232
elc,hw_p1_ablation,GP1e_generic_npp,123.0,0.7788363703635186,1.3859857482185274,1.2581947743467934,0.5767220902612826,0.12019548119633305
elc,hw_p1_ablation,GP1e_generic_npp,42.0,0.8015239477503628,1.2682209144409236,1.1604798551380715,0.5468537799909461,0.11342819882521082
elc,hw_p1_ablation,GP1e_generic_npp,456.0,0.8314296241709653,1.408154221138932,1.2563704852647906,0.5632616884555728,0.1134677057541575
elc,optimal_ablation,G0_full,123.0,0.7869318181818181,1.068817689530686,1.1098826714801444,0.575812274368231,0.12659322150276206
elc,optimal_ablation,G0_full,42.0,0.8131424375917767,1.1399548532731376,1.169525959367946,0.5498871331828442,0.1220492806303402
elc,optimal_ablation,G0_full,456.0,0.8139770114942528,0.9970628106642566,1.1098056936285585,0.4868956168097605,0.12738112114062725
elc,optimal_ablation,GD1_no_pos_mask,123.0,0.7580959122279242,0.9551820728291317,1.0009337068160598,0.5424836601307189,0.1178606317454604
elc,optimal_ablation,GD1_no_pos_mask,42.0,0.8278084714548802,1.2493882091212458,1.292547274749722,0.5007786429365962,0.12819176666179635
elc,optimal_ablation,GD1_no_pos_mask,456.0,0.8007386888273315,1.1270756457564575,1.1962638376383763,0.5680350553505535,0.1208657157865981
elc,optimal_ablation,GD2_no_pos_smooth,123.0,0.7315747962492333,0.9626257786296119,1.063727839003354,0.5306660277910877,0.1210859800954758
elc,optimal_ablation,GD2_no_pos_smooth,42.0,0.7680230984390507,1.1898496240601504,1.1343984962406015,0.6550751879699248,0.12693070028413803
elc,optimal_ablation,GD2_no_pos_smooth,456.0,0.7812836141986375,1.0933914639743,1.0949977053694355,0.5901789811840293,0.12741774144618626
elc,optimal_ablation,GD3_no_attr_weight,123.0,0.7869318181818181,1.068817689530686,1.1098826714801444,0.575812274368231,0.12659322150276206
elc,optimal_ablation,GD3_no_attr_weight,42.0,0.8131424375917767,1.1399548532731376,1.169525959367946,0.5498871331828442,0.1220492806303402
elc,optimal_ablation,GD3_no_attr_weight,456.0,0.8139770114942528,0.9970628106642566,1.1098056936285585,0.4868956168097605,0.12738112114062725
elc,optimal_ablation,GD4_no_causal,123.0,0.13480368856355165,1.5966149506346967,5.231311706629055,1.385049365303244,0.2408827989583947
elc,optimal_ablation,GD4_no_causal,42.0,0.1327883893569105,1.7097989949748744,9.958542713567839,1.479899497487437,0.14492203485500232
elc,optimal_ablation,GD4_no_causal,456.0,0.1618458820931773,1.6834924965893587,29.95361527967258,0.6330150068212824,0.14451008834048035
elc,optimal_ablation,GP1a_wo_has_apex,123.0,0.8218727139722019,0.9824210057854917,1.06964842011571,0.5037828215398309,0.1214786161035254
elc,optimal_ablation,GP1a_wo_has_apex,42.0,0.7817028985507246,1.020162224797219,1.0996523754345306,0.5158748551564311,0.1268191551146228
elc,optimal_ablation,GP1a_wo_has_apex,456.0,0.7722966934763181,1.0305484841471881,1.0786854894700302,0.5278870631798195,0.12152592210295912
elc,optimal_ablation,GP1b_wo_distance,123.0,0.7574306622097751,1.0255248091603053,1.0997137404580153,0.5524809160305344,0.12710299846087006
elc,optimal_ablation,GP1b_wo_distance,42.0,0.7672875965470242,1.0900047370914259,1.1892468024632876,0.49313121743249644,0.12397737120644141
elc,optimal_ablation,GP1b_wo_distance,456.0,0.7315436241610739,1.006277160791888,1.088604538870111,0.5526315789473685,0.12898659546459842
elc,optimal_ablation,GP1c_wo_phase,123.0,0.796593094605733,1.0662221200275925,1.1266957921361231,0.5304667739710278,0.12707855487343991
elc,optimal_ablation,GP1c_wo_phase,42.0,0.8018652281247143,1.0752565564424172,1.0896237172177878,0.5436716077537058,0.12527903252729058
elc,optimal_ablation,GP1c_wo_phase,456.0,0.8017756840007249,1.1780790960451977,1.192316384180791,0.5489265536723164,0.12143632624581611
