domain,variant,F1_mean,F1_std,ApexMAE_mean,ApexMAE_std,OnsetMAE_mean,OnsetMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
wlel,G0_full,0.8497163190373639,0.007699930777779193,0.7034483159309901,0.013095951874546758,0.7237132175347013,0.011395520623658551,0.4301044253013746,0.012616096074768877,0.0879101849469555,0.002019616729895492
wlel,GD1_no_pos_mask,0.8379933163912684,0.011782464419140765,0.7170039126176531,0.005765123472407636,0.7336751732837459,0.01166931808190978,0.40372096804812013,0.010608226149909299,0.08743817056153926,0.004170564945028967
wlel,GD2_no_pos_smooth,0.8416867551092925,0.0027748629924517604,0.8277733199392722,0.039193801068779184,0.8498405464208801,0.041066483821089336,0.41834195314223316,0.00038702823487125947,0.09449770444394705,0.007442230095397961
wlel,GD3_no_attr_weight,0.8412641416349107,0.006725846410520022,0.8162171509212498,0.048027523375661914,0.8578731486996981,0.04494065548315147,0.45396858945919005,0.019246422736099784,0.08264682766303931,0.0018187461101670875
wlel,GD4_no_causal,0.2177803299280495,0.1886115642354365,1.3124083940293139,0.08236624073229187,14.696712466346128,11.849441318358535,0.4060696311165416,0.0035479793473308383,0.22741200292031502,0.08897345484629998
wlel,GS1_wo_mempos,0.8322189489922084,0.0013792800161413832,0.7640019347163678,0.02740535125770403,0.7910138350697918,0.032568415042309846,0.43055738164056767,0.008508294722183812,0.08673814289798004,0.0022728717544795588
wlel,GS2_wo_sa,0.8463386913524978,0.002422367651275332,0.7135600016761289,0.03273776172247712,0.7387568958700124,0.03774120691898649,0.4228459715712652,0.027149141202560182,0.08655781875094942,0.0023582015689536415
wlel,GS3_bare,0.8254007291236259,0.0029186840300217077,0.7900165104300062,0.012031065642645371,0.7977759867017866,0.012599513555065675,0.4357265989928307,0.02632705838737057,0.09079122079103823,0.004622343797381777
wlel,GS4_cnn,0.8409092623098801,0.008234167639597636,1.0032677332999016,0.015148622487100465,1.02994604755705,0.019573064716948065,0.4176911694129592,0.0033733702158531705,0.07812619436265118,0.0006877730204326785
wlel,GS4_lstm,0.833853946627226,0.00901736696870994,0.9768110864057439,0.022430893875515265,1.037637944306467,0.01784271029774525,0.4429449697218444,0.004625196781931098,0.07535111770156645,0.0020503208742855485
wlel,GS4_scratch,0.8586910637745357,0.0065975025285629155,0.9578537917782325,0.061082228291121324,1.0328763594675918,0.06750840963756964,0.4661285064674862,0.014283213908559963,0.07706171294990449,0.0010343007536942593
wlel,GS5_detr,0.7863647097093621,0.0053407130887781025,0.7484250166562028,0.0025741810574142474,1.3105041338729932,0.13257364463800475,0.4405365086321656,0.007723395178993268,0.09881629403021876,0.007536946629337676
