domain,variant,F1_mean,F1_std,ApexMAE_mean,ApexMAE_std,OnsetMAE_mean,OnsetMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
elc,GD1_no_pos_mask,0.00011928192282459593,0.00020660235075670988,0.0,,0.0,,0.0,,0.1259259259259258,
elc,GD2_no_pos_smooth,0.7620698815990944,0.021532491254673748,1.1391838227204747,0.10325751984748047,1.1361857058753617,0.03598017575790323,0.5953216643725524,0.09297621592197604,0.10324781062661581,0.003017237255102323
elc,GD3_no_attr_weight,0.8006076347643244,0.0075260254470109955,0.9790324796289508,0.05996099962812767,1.0764058547116013,0.058417501725855206,0.4986019347025297,0.01833054183658846,0.11762541207911655,0.008129623710585043
elc,GD4_no_causal,0.18135110993876988,0.045104550100127164,1.5471557424929925,0.12040629022776961,8.644219800745006,5.680033931081093,0.5671139875772331,0.06777955550273526,0.15017550888559109,0.02235197959403402
ett,GD1_no_pos_mask,0.08471349637441644,0.06756436525748395,0.7334443361490145,0.11226965026273468,0.8499634502923977,0.18229997947453344,0.1983498483863981,0.10502374562899051,0.22636309384753994,0.06691169270874882
ett,GD2_no_pos_smooth,0.8553758477015672,0.0012005663609045193,0.6549003698451566,0.002119076432871643,0.705337020979112,0.0016928093375353807,0.2136285002998084,0.0026072056548516126,0.26055332043876284,0.010854841351201095
ett,GD3_no_attr_weight,0.8556219863806914,0.0012555656916427693,0.6330601588534336,0.005144584344174247,0.6815782711521541,0.006538289024399374,0.21467715721348934,0.0013003420577958537,0.2839615887083666,0.006125774611342042
ett,GD4_no_causal,0.27783226765182695,0.07875248485141749,1.3746473921137543,0.21820761550793324,3.814319696401538,2.281309711215039,0.3215573518261419,0.03255607951354633,0.2881661601910543,0.04625059421051641
wlel,GD1_no_pos_mask,0.24290313871183025,0.21513268787298662,0.709976918970732,0.15607441026267246,0.7687590106463468,0.183290096748111,0.4817953187161839,0.11639867315443886,0.05934635882279726,0.010580750275442148
wlel,GD2_no_pos_smooth,0.8382490277177634,0.0023581332999326366,0.7876048664480001,0.029147298526079734,0.8130699024741314,0.02034695265091947,0.42091052611185176,0.0019503952013321187,0.0779197540971115,0.003219926813791576
wlel,GD3_no_attr_weight,0.8385986078581821,0.006963788859712211,0.8158396802997235,0.006176930136871792,0.854827723653396,0.01084297540885422,0.45121775432882155,0.01782331880226968,0.07665400395528606,0.004317517516525451
wlel,GD4_no_causal,0.27771249430550066,0.08928200020281507,1.2885824146316538,0.05754006483502396,9.760527700808,3.390964429081377,0.9859453825041037,0.1119159407653316,0.14965997271113177,0.03632900249216022
