domain,variant,F1_mean,F1_std,ApexMAE_mean,ApexMAE_std,OnsetMAE_mean,OnsetMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
elc,G0_full,0.7943065785990786,0.01564465082881481,1.090944598042286,0.05836565275675009,1.1162346604351008,0.06351157152253661,0.5411868022364676,0.030751496478726704,0.10261311100930093,0.002977909044871717
elc,GS1_wo_mempos,0.729617375806531,0.007422832528817351,1.1355619520115685,0.014927951469311255,1.1431577147325578,0.021702480944081084,0.5427568233015463,0.026440395024513355,0.120203877544242,0.0012551368545460817
elc,GS2_wo_sa,0.7623363425550406,0.01670546175042492,1.1393985027538729,0.08519083493399104,1.1645804777969853,0.08611961897366821,0.5389833187013285,0.0241851233209842,0.10310192083395837,0.0003483365259744946
elc,GS3_bare,0.7162063722272448,0.051544869943356934,1.0854675758145123,0.08665642484876214,1.1108420490812538,0.017390396825069338,0.5195668716387384,0.04557793959995925,0.11643100786909666,0.0034685062224611473
elc,GS4_cnn,0.7898573559757791,0.012010012547543891,1.2095315012234549,0.01677188736522679,1.1851388808367804,0.033546046857712696,0.5105665445832019,0.005344787144738895,0.10164066738919447,0.0033136478787360985
elc,GS4_lstm,0.75219000133474,0.05141780163714235,1.2924426764529888,0.03886047068351556,1.2989199145043617,0.07501868383473113,0.5131080608846745,0.0070854867443143725,0.0973861672285028,0.004476209132217437
elc,GS4_mlp,0.7947734200048625,0.012272547961023395,1.1907438720544676,0.025356139206986626,1.217820749405743,0.023579090454141225,0.49231852309812535,0.02521540440347074,0.10474715578627454,0.002024232545453571
elc,GS4_scratch,0.794484883201933,0.0287264547660125,1.2170149952754021,0.057618554694395994,1.1999899767963473,0.027980945972513292,0.5231366640213609,0.0333674723309397,0.09733763758755049,0.0002931926035694075
elc,GS5_detr,0.5771189000416218,0.013362485737899587,1.0171339587605732,0.03812513091097727,4.795210715088725,2.2644867496068843,0.5289028244473474,0.03681968274858721,0.13107649863550988,0.011537539583186164
ett,G0_full,0.8547580283167768,0.0003233375337143715,0.6520686619876516,0.010276391102794297,0.7035835297661174,0.012745350865704896,0.21279463760566827,0.000583622409035941,0.26018580009525544,0.013216657004550752
ett,GS1_wo_mempos,0.8522230682301662,0.0004129147863251866,0.657930138061647,0.014804280713568421,0.7115103339101795,0.017257397488447533,0.21431751459644757,0.0008999188258830114,0.281377279034617,0.0252920412197641
ett,GS2_wo_sa,0.8544440370043992,0.0025871907300595337,0.659913652473359,0.026105649831117465,0.7120730579974771,0.029612111760778017,0.2147544523224796,0.001992517210630524,0.2595396389272752,0.0028797466450810505
ett,GS3_bare,0.845645126585597,0.009487809164009205,0.6837790971596185,0.02530883724290133,0.7381949024134121,0.028782009226022198,0.21396086900194608,0.0018483155162720168,0.2793576737331234,0.02728266219530994
ett,GS4_cnn,0.8529932311342326,0.0025826814303085816,0.6659280510972838,0.03608938446607473,0.7210034649433353,0.04203123189942714,0.21420878090424986,0.002144522320463855,0.24832421900875537,0.006059494757549858
ett,GS4_lstm,0.8487708486212613,0.003122723410496106,0.6522143236514925,0.017813893314845675,0.7050997718318577,0.020225403582108992,0.21530731648228787,0.002559565127328288,0.2587797875133396,0.004548836352420581
ett,GS4_mlp,0.8480853151638428,0.002230181153819223,0.7059182307115509,0.03432946958382038,0.762991778083089,0.04093448726079987,0.21610526161435847,0.0010470787231232149,0.25059823661549135,0.006989472882229681
ett,GS4_scratch,0.8512933107839812,0.002630048966555724,0.681677548741753,0.02753098915459695,0.7374250621096275,0.030439351503852536,0.21567871977054653,0.001069389235101732,0.2524340186646338,0.0093141295174441
ett,GS5_detr,0.6785006702870758,0.01953243579901896,0.5981774601605491,0.030430095617520022,1.6011161756304773,0.49363108823780083,0.22152256405170842,0.003916330577235715,0.23970678173276436,0.011159951985596736
wlel,G0_full,0.840720593939502,0.005588640388474337,0.7073246732220649,0.018840974820807516,0.7469076556602356,0.026516458758842145,0.4396698905972875,0.013775413850290253,0.07679847888472774,0.0021976573166717322
wlel,GS1_wo_mempos,0.8187431328415752,0.009385729109556722,0.7487681944989871,0.04403025108027042,0.789227072852305,0.03635279161809057,0.4579834745987523,0.019838065087308118,0.08993245273908597,0.0037086841530090597
wlel,GS2_wo_sa,0.840435948194698,0.005777435631610574,0.7195553269307067,0.015656756788449012,0.7578271331844975,0.01757667038226191,0.4377222392301097,0.015469490290686035,0.07486125270690476,0.001268512393581447
wlel,GS3_bare,0.8305057144890368,0.011905712967853244,0.7685387060974991,0.0198472846129554,0.7927397904821197,0.008806557348601066,0.4477810209729515,0.005587962162753105,0.07892815643348249,0.006525112285070876
wlel,GS4_cnn,0.8519517781633192,0.010312155402801263,0.9680551502256792,0.03214139596021158,1.054726045017425,0.03603738757983771,0.4658464717861939,0.01335294512686558,0.0680009611478065,0.0005730172393294592
wlel,GS4_lstm,0.8602798947740556,0.0015909142380517802,0.9696631929107538,0.013090174440988638,1.0384517338963442,0.01333307665671127,0.43942085583857554,0.012323730962211366,0.07016684476613265,0.001967325475653778
wlel,GS4_mlp,0.8512109824152665,0.009047702541950598,0.9139857566007121,0.03302466445445525,0.9825396109354764,0.041799658444704464,0.45093546361364895,0.012522548696653108,0.06682621574018649,0.0008456694441021939
wlel,GS4_scratch,0.8381990465846917,0.0015468006936134849,0.9344242410634821,0.013403196853713812,0.9919633949090737,0.0069305008675384265,0.47052642390532334,0.012069268957267553,0.06884884519190407,0.00021585933461315928
wlel,GS5_detr,0.8067296148334253,0.02974535168973926,0.7440009483588265,0.04440869889670691,1.5827077114958155,0.37358391929037094,0.43226079204546947,0.027795507602918986,0.09555395759804668,0.008474107712406012
