domain,variant,F1_mean,F1_std,ApexMAE_mean,ApexMAE_std,OnsetMAE_mean,OnsetMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
elc,G0_full,0.7943065785990786,0.01564465082881481,1.090944598042286,0.05836565275675009,1.1162346604351008,0.06351157152253661,0.5411868022364676,0.030751496478726704,0.10261311100930093,0.002977909044871717
elc,GS1_wo_mempos,0.729617375806531,0.007422832528817351,1.1355619520115685,0.014927951469311255,1.1431577147325578,0.021702480944081084,0.5427568233015463,0.026440395024513355,0.120203877544242,0.0012551368545460817
elc,GS3_bare,0.7162063722272448,0.051544869943356934,1.0854675758145123,0.08665642484876214,1.1108420490812538,0.017390396825069338,0.5195668716387384,0.04557793959995925,0.11643100786909666,0.0034685062224611473
elc,GS5_detr,0.5771189000416218,0.013362485737899587,1.0171339587605732,0.03812513091097727,4.795210715088725,2.2644867496068843,0.5289028244473474,0.03681968274858721,0.13107649863550988,0.011537539583186164
ett,G0_full,0.8547580283167768,0.0003233375337143715,0.6520686619876516,0.010276391102794297,0.7035835297661174,0.012745350865704896,0.21279463760566827,0.000583622409035941,0.26018580009525544,0.013216657004550752
ett,GS1_wo_mempos,0.8522230682301662,0.0004129147863251866,0.657930138061647,0.014804280713568421,0.7115103339101795,0.017257397488447533,0.21431751459644757,0.0008999188258830114,0.281377279034617,0.0252920412197641
ett,GS3_bare,0.845645126585597,0.009487809164009205,0.6837790971596185,0.02530883724290133,0.7381949024134121,0.028782009226022198,0.21396086900194608,0.0018483155162720168,0.2793576737331234,0.02728266219530994
ett,GS5_detr,0.6785006702870758,0.01953243579901896,0.5981774601605491,0.030430095617520022,1.6011161756304773,0.49363108823780083,0.22152256405170842,0.003916330577235715,0.23970678173276436,0.011159951985596736
wlel,G0_full,0.840720593939502,0.005588640388474337,0.7073246732220649,0.018840974820807516,0.7469076556602356,0.026516458758842145,0.4396698905972875,0.013775413850290253,0.07679847888472774,0.0021976573166717322
wlel,GS1_wo_mempos,0.8187431328415752,0.009385729109556722,0.7487681944989871,0.04403025108027042,0.789227072852305,0.03635279161809057,0.4579834745987523,0.019838065087308118,0.08993245273908597,0.0037086841530090597
wlel,GS3_bare,0.8305057144890368,0.011905712967853244,0.7685387060974991,0.0198472846129554,0.7927397904821197,0.008806557348601066,0.4477810209729515,0.005587962162753105,0.07892815643348249,0.006525112285070876
wlel,GS5_detr,0.8067296148334253,0.02974535168973926,0.7440009483588265,0.04440869889670691,1.5827077114958155,0.37358391929037094,0.43226079204546947,0.027795507602918986,0.09555395759804668,0.008474107712406012
