variant,has_apex_f1_mean,has_apex_f1_std,d_to_apex_mae_mean,d_to_apex_mae_std,d_to_apex_r2_mean,d_to_apex_r2_std,phase_cosine_sim_mean,phase_cosine_sim_std,phase_kl_mean_mean,phase_kl_mean_std,phase_event_f1_mean,phase_event_f1_std,offset_accuracy_mean,offset_accuracy_std,offset_top2_accuracy_mean,offset_top2_accuracy_std
P0_baseline,0.9197619416891921,0.0006139062355262837,0.19715765118598938,0.0030514803113762127,0.8069961071014404,0.003271859675442534,0.9655465086301168,0.0009724257386529737,0.0955488458275795,0.0017961581823535576,0.7645600931423499,0.014249357076886467,0.8103756484780299,0.0028208034467911533,0.9525595349709356,0.00230631792409852
P1a_wo_has_apex,0.0,0.0,0.22149182856082916,0.006618476244496464,0.7709360520044962,0.009893284119700335,0.9617754618326823,0.00017795892342990696,0.10939102123181026,0.003756342417929074,0.7273668875916304,0.012512623902058227,0.7940371273204575,0.011316887646034482,0.9434589661853866,0.0018931152821960865
P1b_wo_distance,0.9161168349350448,0.003227913928814248,0.6552693247795105,0.0,-0.694664716720581,0.0,0.9644869168599447,0.0028601068001481047,0.10125448058048885,0.0055412502388766,0.745490248516257,0.010046344061311078,0.8065504094005874,0.027239446268798165,0.9504594037127321,0.010002984283250829
P1c_wo_phase,0.9151285070052358,0.001962695158801861,0.20520109434922537,0.0027037869194058875,0.7843318382898966,0.007912487118626797,0.6797893047332764,0.0,0.729506254196167,0.0,0.6314847192111337,0.0,0.8075879742483906,0.01863068568116186,0.9495218451153197,0.007806315044967223
P1d_wo_offset,0.9125349090389895,0.004178308739592218,0.19946178297201791,0.007682001954714695,0.8010990420977274,0.015191066097552847,0.9638542334238688,0.001111916912736355,0.10490953922271729,0.001160435700435183,0.7584032436928103,0.01889511712807287,0.10363147696731045,0.008286650910028516,0.2024876554784674,0.010538818501287083
