dataset,pred_len,method,n_runs,F1_mean,F1_std,OnsetMAE_mean,OnsetMAE_std,ApexMAE_mean,ApexMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
wlel,96,PatchTST,3,0.8140936885770702,0.0050945197794051,1.200419927317811,0.0101206857877412,1.1145950688140047,0.0131946452508689,0.6221840767710488,0.0085959484346483,0.058485147556708,5.2227848130659656e-05
wlel,96,Seq2Peak,3,0.6985180984476426,0.0302988641767303,1.4331593550884651,0.1651577535012507,1.3139179850271363,0.1917619061202312,0.6420080280192009,0.0133329274593556,0.0674910107971128,0.0038884826207831
wlel,96,TimeMixer,3,0.7199780092500939,0.0217057978545562,1.614353988013863,0.0283897878650811,1.384498246638209,0.0256470640306264,0.7087469996643271,0.0067885532682029,0.0672575275919814,0.0005266306566653
wlel,96,iTransformer,3,0.8213426976951524,0.0011808788552661,1.2364979022139184,0.0103735709228135,1.1366524961932951,0.0081224406933922,0.6244267326970238,0.0101009021374303,0.0581628691834771,0.0002863536536262
wlel,168,DLinear,3,0.7769182444959588,0.0077879015641764,1.693099347939305,0.0211284596108314,1.420166357179303,0.018411218189135,0.6238551821862256,0.0085265908389737,0.0773823487174575,0.0002901229587494
wlel,168,PatchTST,3,0.7949072340211458,0.0018719146616612,1.2130561560621145,0.0085336700793087,1.1110359940420382,0.0047297767778378,0.6118750247381534,0.0057730650451414,0.0669875427949223,0.0006365033515991
wlel,168,Seq2Peak,3,0.7025873883939755,0.0027188561703827,1.015063148001274,0.0118783260260057,0.9191289532676752,0.0066424322537196,0.5564890859670691,0.0117642626926279,0.0777263730901749,0.0006933437096653
wlel,168,TimeMixer,3,0.7212015878379153,0.0031981648584596,1.6244531093556729,0.0182652005526144,1.3713837191044886,0.0130146998710942,0.696474341448253,0.0064365136897039,0.0778788678671074,0.0005543949937451
wlel,168,iTransformer,3,0.806120506601329,0.0024750163331484,1.3012104668071138,0.0199564222442235,1.1781409825891818,0.0166322300045963,0.617157365298244,0.0064152556650927,0.0692724560995671,0.0001399794860723
wlel,336,DLinear,3,0.7580659435079742,0.0007631220652306,1.6836095553860086,0.0284746446805056,1.3988106663075108,0.0097174033733788,0.637230410102418,0.0126914159763648,0.0901747578717146,0.000328964071176
wlel,336,PatchTST,3,0.7633655006643901,0.0151107924646219,1.2824453234439006,0.0451982055099197,1.1623834539093372,0.0400563435791742,0.6152308983061924,0.0039069192604682,0.0817516452574282,0.0017349763620119
wlel,336,Seq2Peak,3,0.6942240278415363,0.0132882639544702,1.0266655725789118,0.0567060622276698,0.9326997552731072,0.0486589019203956,0.5539490542259712,0.0141133380907656,0.0921596194579432,0.0011624694763886
wlel,336,TimeMixer,3,0.7227657080076723,0.011036250852843,1.6519081040904826,0.0279933253158807,1.3855305567357843,0.0107198804722613,0.7098045465522412,0.0135744550726964,0.0939508160373029,0.0004378875224342
wlel,336,iTransformer,3,0.7742783799986653,0.0055788246969768,1.34630860732473,0.0073547069523449,1.196439404999483,0.0068405410745791,0.6115300916580049,0.0015338137450077,0.0823868729034205,0.000347612525792
