domain,experiment,variant,F1_mean,F1_std,ApexMAE_mean,ApexMAE_std,OnsetMAE_mean,OnsetMAE_std,DurMAE_mean,DurMAE_std,IntMAPE_mean,IntMAPE_std
elc,grid_search,w1,0.7945896274186266,0.014322075779793933,1.1014860573149996,0.12944283641870324,1.147847069933562,0.09517275069191009,0.5271492167199534,0.02330208932315842,0.12479284027275676,0.001276045946552429
elc,grid_search,w2,0.8046837557559492,0.015379291080103722,1.0686117844893601,0.07144624383338218,1.129738108158883,0.03445731140517651,0.5375316747869453,0.04572784722652233,0.12534120775790983,0.002877982734444157
elc,grid_search,w3,0.787816887694608,0.013284023850163642,1.1106591526276357,0.049540813922932456,1.1478534313084259,0.047757236821598395,0.555144123993648,0.03649227273635427,0.12487309902823605,0.0012623420429364754
elc,grid_search,w4,0.7913172171539046,0.021641239567656477,1.1272581464678788,0.05708817330615792,1.163058956871927,0.06765968510281836,0.5762919064389934,0.025548393566652002,0.12737039300724315,0.0030177692797098647
elc,grid_search,w6,0.7923867719506735,0.014834994015531233,1.0842949302642844,0.042127543816856704,1.1238111388922143,0.02842125185884082,0.5946589399286305,0.02659252584550636,0.12851696621224618,0.002935703916361331
elc,grid_search,w8,0.7947205774547647,0.01037621827077482,1.0882586844676754,0.03046283835789614,1.1166516093144387,0.022309962689646055,0.5986785041355732,0.02263306406717894,0.13094614472638735,0.00545656977931371
ett,grid_search,w1,0.8542752194835179,0.0025710614898127714,0.639790300653594,0.017286022206905272,0.6884339055146628,0.017917465968526225,0.21422347173635656,0.0007034014561311265,0.27522756767004597,0.04112427770464175
ett,grid_search,w2,0.8515577674791813,0.004650822149418291,0.6757712486862654,0.02077123310997877,0.7278349139174253,0.02376993404871131,0.21482849551345004,0.001040845165385905,0.27873712158352393,0.02144682602107004
ett,grid_search,w3,0.8494031160843759,0.005870379767905602,0.7011825778297677,0.01736425826074233,0.7555714358389715,0.019365087943303605,0.21579274865100428,0.0009964733467263847,0.28178626713410854,0.01056704445525278
ett,grid_search,w4,0.8499809945980731,0.0036442124940498795,0.7174890984888491,0.04419036409691439,0.7726064370455883,0.04640429454733295,0.21330624755753694,0.0025430248621680436,0.2996487819245399,0.0037794292197580953
ett,grid_search,w6,0.8519591770748631,0.0011580312861001947,0.7201946378935148,0.01897046976018595,0.7784015526308568,0.01659012719660078,0.21494143006494779,0.0025318904882625313,0.3266792207403881,0.017839539120057542
ett,grid_search,w8,0.8528324935886465,0.002179086425707127,0.7371462690625479,0.023439012101266806,0.7944103537594654,0.022722589709923396,0.21331352582900234,0.0023379208516874253,0.32358004260197165,0.014686503525715084
wlel,grid_search,w1,0.8424768343911699,0.007934540512938362,0.7327461794400564,0.011404171709077947,0.7650636855186382,0.009296758040943525,0.4264937737829794,0.011328900184826544,0.08362669836877812,0.0031307153037182034
wlel,grid_search,w2,0.8373041415917389,0.01228947546934536,0.7176044158931868,0.020501367241118795,0.7452246095353307,0.031901881114645675,0.43710204695944527,0.020817953285470335,0.08250840687564813,0.002638076202264195
wlel,grid_search,w3,0.8404679873204938,0.01105173613070646,0.7228744813326496,0.01648545209528599,0.7491438736837625,0.028255450323133646,0.44426610353973195,0.010782767286340708,0.08543140413563115,0.0018508232299856303
wlel,grid_search,w4,0.8497163190373639,0.007699930777779193,0.7034483159309901,0.013095951874546758,0.7237132175347013,0.011395520623658551,0.4301044253013746,0.012616096074768877,0.0879101849469555,0.002019616729895492
wlel,grid_search,w6,0.847012452620501,0.007039893637913179,0.7110407794891591,0.007072505879719439,0.7279657593170682,0.010433251480383505,0.43883782654282033,0.023626778585302988,0.09275438589158425,0.0017478887014997773
wlel,grid_search,w8,0.8469526109928801,0.00800014470491193,0.727500779538843,0.023176138537217957,0.7406685981790422,0.027706601740702292,0.43770757121533715,0.019914643409488567,0.0957612240954963,0.0025228690631183062
wlel,hparam_search,arch_dff128,0.8513838748495788,,0.7138594424813506,,0.7376521397722812,,0.42897526501766786,,0.08544717543508273,
wlel,hparam_search,arch_dff512,0.8410180247080268,,0.7268421897575855,,0.7428158612939476,,0.42518863380960026,,0.08657965661029998,
wlel,hparam_search,arch_dmodel256,0.8436892553120183,,0.7495034559466116,,0.7662667831890045,,0.4312385794867721,,0.0947047276309025,
wlel,hparam_search,arch_dmodel64,0.8444206008583691,,0.7181543837357052,,0.7395171537484116,,0.44051778907242695,,0.09049782228141054,
wlel,hparam_search,arch_nlayers2,0.8491556213415864,,0.7287061247127803,,0.7579431106885349,,0.4222327866254655,,0.09081935036935902,
wlel,hparam_search,arch_nlayers3,0.8567297669883325,,0.7017268445839875,,0.734850863422292,,0.42810047095761383,,0.08567755974792281,
wlel,hparam_search,arch_nlayers4,0.8512827409972764,,0.7044790267793665,,0.7293625088869579,,0.42151828738446956,,0.08747555812465749,
wlel,hparam_search,train_drop01,0.8506836334100447,,0.6966104392106939,,0.732733927434755,,0.4407224697644812,,0.08680445294912177,
wlel,hparam_search,train_drop03,0.8559122417390134,,0.7476804529013996,,0.7608900770561409,,0.4403208051580437,,0.0831781943071258,
wlel,hparam_search,train_lr1e-3,0.8505450470336537,,0.7601213766669328,,0.7946179030583725,,0.4423860097420746,,0.08624041959294404,
wlel,hparam_search,train_lr1e-4,0.8407271740605075,,0.7507664999193158,,0.7790866548329837,,0.44021300629336774,,0.09363077025892652,
wlel,hparam_search,train_lr3e-4,0.8511082665229401,,0.7056122852845722,,0.7307052956542389,,0.4325971661521412,,0.08756230361962143,
wlel,hparam_search,train_ls0,0.8502133091470994,,0.7618332674832082,,0.7952587909917029,,0.43674436981430265,,0.09548145630525223,
wlel,hparam_search,train_ls005,0.8518206054061351,,0.7330639410506299,,0.7613501307344901,,0.44410110133903813,,0.08932010000975908,
wlel,hparam_search,train_ls02,0.85387088132869,,0.7309019607843137,,0.7594509803921569,,0.4243921568627451,,0.09444224783395871,
